단지고유번호,필지고유번호,시도,자치구,법정동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
11650120050276,1165010800115600009,서울특별시,서초구,서초동,1560-9,서울특별시 서초구 서초동 1560-9,서초우방유쉘,서초우방유쉘,서초우방유쉘,서초우방유쉘,1,아파트,1,49,2006-06-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120034134,1165010800114440007,서울특별시,서초구,서초동,1444-7,서울특별시 서초구 서초동 1444-7,서초자이,서초자이,서초자이,서초자이,1,아파트,4,184,2006-04-18,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120439388,1165010800117580000,서울특별시,서초구,서초동,1758,서울특별시 서초구 서초동 1758,서초자이르네,서초자이르네,서초자이르네,서초자이르네,1,아파트,2,67,2022-08-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120008783,1165010800114580006,서울특별시,서초구,서초동,1458-6,서울특별시 서초구 서초동 1458-6,서초지웰,서초지웰,서초지웰,서초지웰,1,아파트,2,60,2005-12-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100051083,1165010800115680003,서울특별시,서초구,서초동,1568-3,서울특별시 서초구 서초동 1568-3,서초캐슬,서초캐슬,서초캐슬,서초캐슬,1,아파트,1,19,2003-09-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120059765,1165010800113270000,서울특별시,서초구,서초동,1327,서울특별시 서초구 서초동 1327,서초타운트라팰리스,서초타운트라팰리스,서초타운트라팰리스,서초타운트라팰리스,1,아파트,1,48,2006-11-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002709,1165010800113100009,서울특별시,서초구,서초동,1310-9,서울특별시 서초구 서초동 1310-9,서초타워씨티빌,서초타워시티빌,서초타워씨티빌,서초타워씨티빌,1,아파트,1,19,1996-10-22,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002710,1165010800116680001,서울특별시,서초구,서초동,1668-1,서울특별시 서초구 서초동 1668-1,서초태동스위트아파트,서초태동스위트,서초태동스위트아파트,서초태동스위트아파트,1,아파트,1,17,2001-08-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120021291,1165010800113440013,서울특별시,서초구,서초동,1344-13,서울특별시 서초구 서초동 1344-13,서초트라팰리스,서초트라팰리스,서초트라팰리스,서초트라팰리스,1,아파트,3,257,2005-11-18,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120027293,1165010800114920005,서울특별시,서초구,서초동,1492-5,서울특별시 서초구 서초동 1492-5,서초트레져,서초트레져,서초트레져,서초트레져,1,아파트,1,14,2005-12-15,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120020483,1165010800113270029,서울특별시,서초구,서초동,1327-29,서울특별시 서초구 서초동 1327-29,서초파라곤,서초파라곤,서초파라곤,서초파라곤,1,아파트,1,60,2005-10-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249380,1165010800115660009,서울특별시,서초구,서초동,1566-9,서울특별시 서초구 서초동 1566-9,서초프라임빌(1566-9),서초프라임빌(1566-9),,,1,아파트,1,10,2004-07-20,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120428761,1165010800117560000,서울특별시,서초구,서초동,1756,서울특별시 서초구 서초동 1756,서초프라임헤센아파트,서초프라임헤센아파트,서초프라임헤센아파트,서초프라임헤센아파트,1,아파트,2,55,2021-01-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120029513,1165010800115060046,서울특별시,서초구,서초동,1506-46,서울특별시 서초구 서초동 1506-46,서초프레스턴-1,서초프레스턴,서초프레스턴-1,서초프레스턴-1,1,아파트,1,18,2005-09-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002711,1165010800115090001,서울특별시,서초구,서초동,1509-1,서울특별시 서초구 서초동 1509-1,서초한빛삼성아파트,서초한빛삼성,서초한빛삼성아파트,서초한빛삼성아파트,1,아파트,2,264,1999-11-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002713,1165010800115330000,서울특별시,서초구,서초동,1533,서울특별시 서초구 서초동 1533,서초한신리빙타워,서초한신리빙타워,서초한신리빙타워,서초한신리빙타워,1,아파트,1,103,1999-04-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120286450,1165010800113440002,서울특별시,서초구,서초동,1344-2,서울특별시 서초구 서초동 1344-2,서초한양수자인아파트,서초한양수자인,서초한양수자인아파트,서초한양수자인아파트,1,아파트,1,24,2013-12-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002714,1165010800116360001,서울특별시,서초구,서초동,1636-1,서울특별시 서초구 서초동 1636-1,서초한일아파트,서초한일,서초한일아파트,서초한일아파트,1,아파트,1,86,1997-10-15,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120072153,1165010800113030010,서울특별시,서초구,서초동,1303-10,서울특별시 서초구 서초동 1303-10,서초한일유앤아이주상복합,서초한일유앤아이주상복합,서초한일유앤아이주상복합,서초한일유앤아이주상복합,1,아파트,1,60,2007-08-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002715,1165010800116480002,서울특별시,서초구,서초동,1648-2,서울특별시 서초구 서초동 1648-2,서초현대아파트,서초현대,서초현대아파트,서초현대아파트,1,아파트,2,299,1999-11-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002719,1165010800113190013,서울특별시,서초구,서초동,1319-13,서울특별시 서초구 서초동 1319-13,서초현대타워아파트,서초현대타워아파트,서초현대타워아파트,서초현대타워아파트,1,아파트,1,38,1997-11-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002765,1165010800116120002,서울특별시,서초구,서초동,1612-2,서울특별시 서초구 서초동 1612-2,서초힐하우스,서초힐하우스,서초힐하우스,서초힐하우스,1,아파트,1,15,2002-09-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002721,1165010800116400003,서울특별시,서초구,서초동,1640-3,서울특별시 서초구 서초동 1640-3,수광빌라트,수광빌라트,,,1,아파트,1,12,1996-12-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002761,1165010800115060047,서울특별시,서초구,서초동,1506-47,서울특별시 서초구 서초동 1506-47,신구블레스벨리,신구블레스벨리,신구블레스벨리,신구블레스벨리,1,아파트,1,10,2002-07-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249360,1165010800114340002,서울특별시,서초구,서초동,1434-2,서울특별시 서초구 서초동 1434-2,신원아침도시(1434),신원아침도시(1434),,,1,아파트,1,40,2004-08-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002723,1165010800116410013,서울특별시,서초구,서초동,1641-13,서울특별시 서초구 서초동 1641-13,아남아파트,아남,아남아파트,아남아파트,1,아파트,2,166,1989-11-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002724,1165010800114770001,서울특별시,서초구,서초동,1477-1,서울특별시 서초구 서초동 1477-1,아이파크빌,아이파크빌,아이파크빌,아이파크빌,1,아파트,2,66,2001-09-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249385,1165010800116850003,서울특별시,서초구,서초동,1685-3,서울특별시 서초구 서초동 1685-3,아크로비스타,아크로비스타,아크로비스타,아크로비스타,1,아파트,3,757,2004-06-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100053162,1165010800114660004,서울특별시,서초구,서초동,1466-4,서울특별시 서초구 서초동 1466-4,애지앙아파트,애지앙,애지앙아파트,애지앙아파트,1,아파트,1,16,2003-08-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120430353,1165010800113390009,서울특별시,서초구,서초동,1339-9,서울특별시 서초구 서초동 1339-9,에피소드 강남 262,에피소드강남262,에피소드 강남 262,에피소드 강남 262,1,아파트,1,149,2021-11-22,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120021292,1165010800114710015,서울특별시,서초구,서초동,1471-15,서울특별시 서초구 서초동 1471-15,엘리제 아파트,엘리제,엘리제 아파트,엘리제 아파트,1,아파트,1,10,2005-05-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100053170,1165010800115310006,서울특별시,서초구,서초동,1531-6,서울특별시 서초구 서초동 1531-6,예림아파트,예림,예림아파트,예림아파트,1,아파트,1,16,2003-05-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100053290,1165010800115140006,서울특별시,서초구,서초동,1514-6,서울특별시 서초구 서초동 1514-6,옥스포드빌,옥스포드빌라트,옥스포드빌,옥스포드빌,1,아파트,1,11,2003-07-09,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
