code,name
227,낙성대
228,서울대입구
214,강변
P151,당정
217,잠실새내
156,주안
218,종합운동장
312,마두
542,답십리
219,삼성
I128,선학
220,선릉
221,역삼
222,강남
223,교대
225,방배
226,사당
229,봉천
230,신림
231,신대방
232,구로디지털단지
234,신도림
235,문래
234-4,까치산
201,시청
202,을지로입구
203,을지로3가
204,을지로4가
205,동대문역사문화공원
206,신당
209,한양대
210,뚝섬
211,성수
212,건대입구
213,구의
215,잠실나루
216,잠실
236,영등포구청
237,당산
238,합정
239,홍대입구
240,신촌
241,이대
242,아현
243,충정로
211-1,용답
211-2,신답
234-3,신정네거리
319,지축
320,구파발
321,연신내
322,불광
323,녹번
324,홍제
325,무악재
326,독립문
327,경복궁
328,안국
329,종로3가
330,을지로3가
332,동대입구
333,약수
334,금호
335,옥수
336,압구정
337,신사
338,잠원
339,고속터미널
340,교대
341,남부터미널
342,양재
343,매봉
344,도곡
345,대치
346,학여울
347,대청
348,일원
349,수서
350,가락시장
351,경찰병원
352,오금
409,당고개
410,상계
411,노원
412,창동
413,쌍문
414,수유
415,미아
416,미아사거리
417,길음
418,성신여대입구
419,한성대입구
420,혜화
421,동대문
422,동대문역사문화공원
423,충무로
424,명동
425,회현
426,서울역
427,숙대입구
428,삼각지
429,신용산
430,이촌
431,동작
432,총신대입구
433,사당
434,남태령
134,남영
135,용산
136,노량진
137,대방
139,영등포
140,신도림
K111,이촌
K112,서빙고
K114,옥수
K115,응봉
K116,왕십리
K117,청량리
123,회기
122,외대앞
121,신이문
120,석계
119,광운대
118,월계
117,녹천
116,창동
K215,선릉
k216,한티
K217,도곡
k218,구룡
k219,개포동
k220,대모산입구
K210,왕십리
K221,수서
K222,복정
138,신길
K119,중랑
K120,상봉
K121,망우
K122,양원
K123,구리
K124,도농
K125,양정
K126,덕소
K127,도심
K128,팔당
K129,운길산
K130,양수
K131,신원
K132,국수
K133,아신
K134,오빈
K135,양평
K136,원덕
K137,용문
K138,지평
P313,서울역
P312,신촌
K826,효창공원앞
K312,공덕
K313,서강대
K314,홍대입구
K316,디지털미디어시티
K317,수색
K318,화전
K319,강매
K320,행신
K321,능곡
K323,곡산
K324,백마
K325,풍산
K326,일산
K327,탄현
K328,야당
K329,운정
K330,금릉
K331,금촌
K333,월롱
K334,파주
K335,문산
K336,임진강
P116,광운대
P117,청량리
P118,회기
P120,상봉
P121,망우
P122,신내
P123,갈매
P124,별내
P125,퇴계원
P126,사릉
P127,금곡
P128,평내호평
P129,천마산
P130,마석
P131,대성리
P132,청평
P133,상천
P134,가평
P135,굴봉산
P136,백양리
P137,강촌
P138,김유정
P139,남춘천
P140,춘천
P170,봉명
P171,쌍용
P172,아산
P174,배방
P176,온양온천
P177,신창
435,선바위
436,경마공원
437,대공원
438,과천
439,정부과천청사
440,인덕원
441,평촌
442,범계
443,금정
K412,삼동
K413,경기광주
K414,초월
K415,곤지암
K416,신둔도예촌
K417,이천
K418,부발
K420,여주
141,구로
P142,가산디지털단지
P144,금천구청
P145,석수
P146,관악
P147,안양
P148,명학
P149,금정
P150,군포
P152,의왕
P153,성균관대
P154,화서
P155,수원
P143,독산
P156,세류
P157,병점
P158,세마
P159,오산대
K419,세종대왕릉
P160,오산
P161,진위
P162,송탄
P163,서정리
P165,평택
P166,성환
P167,직산
P168,두정
P169,천안
P157-1,서동탄
P144-1,광명
444,산본
446,대야미
447,반월
448,상록수
449,한대앞
450,중앙
451,고잔
452,초지
453,안산
454,신길온천
455,정왕
456,오이도
445,수리산
K250,오이도
143,개봉
144,오류동
146,역곡
148,부천
150,송내
152,부평
153,백운
154,동암
158,제물포
160,동인천
161,인천
142,구일
147,소사
151,부개
155,간석
159,도원
145,온수
149,중동
157,도화
K209,청량리
K211,서울숲
K212,압구정로데오
K213,강남구청
K214,선정릉
K223,가천대
K224,태평
K225,모란
K226,야탑
K228,서현
K229,수내
K230,정자
K231,미금
K227,이매
K234,보정
K235,구성
K236,신갈
K238,상갈
K239,청명
K240,영통
K241,망포
K242,매탄권선
K243,수원시청
K244,매교
K245,수원
K251,달월
K252,월곶
K253,소래포구
K254,인천논현
K255,호구포
K256,남동인더스파크
K257,원인재
K258,연수
K259,송도
K261,인하대
K262,숭의
K264,인천
115,방학
114,도봉
113,도봉산
112,망월사
111,회룡
110,의정부
109,가능
108,녹양
107,양주
106,덕계
105,덕정
104,지행
103,동두천중앙
102,보산
101,동두천
317,원흥
316,원당
314,대곡
313,백석
311,정발산
310,주엽
309,대화
510,방화
511,개화산
512,김포공항
513,송정
514,마곡
515,발산
516,우장산
517,화곡
518,까치산
519,신정
520,목동
521,오목교
522,양평
523,영등포구청
524,영등포시장
525,신길
318,삼송
526,여의도
527,여의나루
528,마포
529,공덕
530,애오개
531,충정로
532,서대문
533,광화문
534,종로3가
535,을지로4가
536,동대문역사문화공원
537,청구
538,신금호
539,행당
540,왕십리
541,마장
543,장한평
544,군자
545,아차산
546,광나루
547,천호
548,강동
549,길동
550,굽은다리
551,명일
552,고덕
553,상일동
P549,둔촌동
P550,올림픽공원
P551,방이
P552,오금
P553,개롱
P554,거여
P555,마천
610,응암
611,역촌
612,불광
613,독바위
614,연신내
615,구산
616,새절
617,증산
618,디지털미디어시티
619,월드컵경기장
620,마포구청
621,망원
622,합정
623,상수
624,광흥창
625,대흥
626,공덕
627,효창공원앞
628,삼각지
629,녹사평
630,이태원
631,한강진
632,버티고개
633,약수
635,신당
636,동묘앞
637,창신
638,보문
639,안암
640,고려대
641,월곡
642,상월곡
