단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
28177100218744,2817710500103950029,인천광역시,미추홀구,,주안동,395-29,인천광역시 미추홀구 주안동 395-29,세명아파트101동,세명101동,세명아파트101동,세명아파트101동,1,아파트,1,12,2002-04-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218745,2817710500103950030,인천광역시,미추홀구,,주안동,395-30,인천광역시 미추홀구 주안동 395-30,세명아파트102동,세명102동,세명아파트102동,세명아파트102동,1,아파트,1,12,2002-04-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218746,2817710500103950031,인천광역시,미추홀구,,주안동,395-31,인천광역시 미추홀구 주안동 395-31,세명아파트103동,세명103동,세명아파트103동,세명아파트103동,1,아파트,1,12,2002-04-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120442137,2817710500104000001,인천광역시,미추홀구,,주안동,400-1,인천광역시 미추홀구 주안동 400-1,어반플러스아파트,어반플러스아파트,어반플러스아파트,,1,아파트,1,99,2022-12-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218747,2817710500104780054,인천광역시,미추홀구,,주안동,478-54,인천광역시 미추홀구 주안동 478-54,삼원아파트,삼원아파트,삼원아파트,삼원아파트,1,아파트,1,10,2002-06-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218759,2817710500106080013,인천광역시,미추홀구,,주안동,608-13,인천광역시 미추홀구 주안동 608-13,봉재아파트,봉재,봉재아파트,봉재아파트,1,아파트,1,20,2002-10-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120340735,2817710500106220002,인천광역시,미추홀구,,주안동,622-2,인천광역시 미추홀구 주안동 622-2,대명아파트,대명아파트,대명아파트,대명아파트,1,아파트,1,45,2016-08-11,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100554495,2817710500106310003,인천광역시,미추홀구,,주안동,631-3,인천광역시 미추홀구 주안동 631-3,우정아파트,우정,우정아파트,우정아파트,1,아파트,1,10,2002-12-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120383264,2817710500106320001,인천광역시,미추홀구,,주안동,632-1,인천광역시 미추홀구 주안동 632-1,센트라스,센트라스,,,1,아파트,1,52,2018-12-20,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120286014,2817710500106340002,인천광역시,미추홀구,,주안동,634-2,인천광역시 미추홀구 주안동 634-2,대경이즈뷰아파트,대경이즈뷰,대경이즈뷰아파트,대경이즈뷰아파트,1,아파트,1,17,2014-02-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005589,2817710500106560033,인천광역시,미추홀구,,주안동,656-33,인천광역시 미추홀구 주안동 656-33,두진아파트,두진,,두진아파트,1,아파트,2,60,1983-08-10,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120341254,2817710500106930017,인천광역시,미추홀구,,주안동,693-17,인천광역시 미추홀구 주안동 693-17,다솜,다솜,다솜,다솜,1,아파트,1,27,2016-08-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120330240,2817710500106940002,인천광역시,미추홀구,,주안동,694-2,인천광역시 미추홀구 주안동 694-2,한빛캐슬,한빛캐슬,한빛캐슬,한빛캐슬,1,아파트,1,52,2015-12-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120417439,2817710500106980003,인천광역시,미추홀구,,주안동,698-3,인천광역시 미추홀구 주안동 698-3,청울림,청울림,청울림,청울림,1,아파트,1,95,2021-02-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005602,2817710500107180002,인천광역시,미추홀구,,주안동,718-2,인천광역시 미추홀구 주안동 718-2,석락아파트,석락맨숀아파트,,석락아파트,1,아파트,2,60,1978-10-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005607,2817710500107570001,인천광역시,미추홀구,,주안동,757-1,인천광역시 미추홀구 주안동 757-1,신라아파트,신라(757-1),,신라아파트,1,아파트,2,80,1984-10-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005573,2817710500108670008,인천광역시,미추홀구,,주안동,867-8,인천광역시 미추홀구 주안동 867-8,경신아파트,경신,경신아파트,경신아파트,1,아파트,3,96,1990-12-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100607984,2817710500108810003,인천광역시,미추홀구,,주안동,881-3,인천광역시 미추홀구 주안동 881-3,승미,승미,,,1,아파트,1,17,2002-10-07,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100607985,2817710500108810006,인천광역시,미추홀구,,주안동,881-6,인천광역시 미추홀구 주안동 881-6,대영아트빌,대영아트빌,,,1,아파트,1,9,2002-01-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005624,2817710500108920001,인천광역시,미추홀구,,주안동,892-1,인천광역시 미추홀구 주안동 892-1,두산주상복합아파트,주안두산,두산주상복합아파트,두산주상복합아파트,1,아파트,1,76,1998-01-31,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448853,2817710500109280007,인천광역시,미추홀구,,주안동,928-7,인천광역시 미추홀구 주안동 928-7,대경월드아파트,대경월드(928-7),대경월드아파트,대경월드아파트,1,아파트,1,10,2003-01-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120329554,2817710500109280008,인천광역시,미추홀구,,주안동,928-8,인천광역시 미추홀구 주안동 928-8,해마루 더펠리체,해마루더펠리체,해마루 더펠리체,해마루 더펠리체,1,아파트,1,100,2015-12-02,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120341815,2817710500109280009,인천광역시,미추홀구,,주안동,928-9,인천광역시 미추홀구 주안동 928-9,힐카운티,힐카운티,힐카운티,힐카운티,1,아파트,1,27,2016-09-07,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100607987,2817710500109280020,인천광역시,미추홀구,,주안동,928-20,인천광역시 미추홀구 주안동 928-20,대경월드아파트,대경월드(928-20),대경월드아파트,대경월드아파트,1,아파트,1,10,2003-01-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218775,2817710500109280021,인천광역시,미추홀구,,주안동,928-21,인천광역시 미추홀구 주안동 928-21,대경월드아파트,대경월드,대경월드아파트,대경월드아파트,1,아파트,1,10,2003-01-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448854,2817710500109280022,인천광역시,미추홀구,,주안동,928-22,인천광역시 미추홀구 주안동 928-22,대경월드아파트,대경월드(928-22),대경월드아파트,대경월드아파트,1,아파트,1,10,2003-01-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120102061,2817710500109290005,인천광역시,미추홀구,,주안동,929-5,인천광역시 미추홀구 주안동 929-5,대성빌리뷰,대성빌리뷰,대성빌리뷰,대성빌리뷰,1,아파트,1,14,2008-10-10,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120141384,2817710500109290016,인천광역시,미추홀구,,주안동,929-16,인천광역시 미추홀구 주안동 929-16,보미 리즌빌,보미리즌빌,보미 리즌빌,보미 리즌빌,1,아파트,1,80,2011-07-20,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120130285,2817710500109610005,인천광역시,미추홀구,,주안동,961-5,인천광역시 미추홀구 주안동 961-5,씨티프라임 아파트,씨티프라임,씨티프라임 아파트,씨티프라임 아파트,1,아파트,1,19,2010-06-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100218778,2817710500109620001,인천광역시,미추홀구,,주안동,962-1,인천광역시 미추홀구 주안동 962-1,광해 리드빌,광해리드빌(101동),광해 리드빌,광해 리드빌,1,아파트,1,70,2001-04-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
