공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2020000445,전라북도,,익산시,,익산부송3단지 50년공공임대주택(예비),540,입주예정,2020-07,청약홈 분양정보 오픈API
2020000310,강원도,,강릉시,내곡동,강릉 블루밍 더 베스트,71,입주예정,2022-06,청약홈 분양정보 오픈API
2020000416,서울특별시,양천구,,신정3동,호반써밋 목동,238,입주예정,2022-03,청약홈 분양정보 오픈API
2020000411,경기도,,수원장안구,,더샵 광교산퍼스트파크,475,입주예정,2022-05,청약홈 분양정보 오픈API
2020000407,부산광역시,,부산서구,,부산 남부민3(풀리페아파트) 국민임대 공가세대,132,입주예정,2020-08,청약홈 분양정보 오픈API
2020000370,전라북도,,완주군,이서면,혁신도시 에코르 1단지 분양전환 후 일반분양주택,7,입주예정,2020-06,청약홈 분양정보 오픈API
2020000332,경기도,,양주시,,양주회천신도시 노블랜드 A16블록 센트럴 시티,860,입주예정,2022-12,청약홈 분양정보 오픈API
2020000313,부산광역시,,부산사상구,덕포동,사상 중흥S클래스 그랜드 센트럴,952,입주예정,2023-07,청약홈 분양정보 오픈API
2020000424,대전광역시,,대전유성구,,대전죽동 천년나무 10년 공공임대주택,50,입주예정,2020-06,청약홈 분양정보 오픈API
2020000423,대전광역시,,대전유성구,,대전노은3 에코힐 10년 공공임대주택,30,입주예정,2020-06,청약홈 분양정보 오픈API
2020000422,대전광역시,,대전유성구,,대전노은3 네이쳐뷰 10년 공공임대주택,70,입주예정,2020-06,청약홈 분양정보 오픈API
2020000409,경기도,,시흥시,,시흥은계 A1블록 행복주택 예비입주자모집,570,입주예정,2020-09,청약홈 분양정보 오픈API
2020000306,인천광역시,,인천부평구,,부평역 한라비발디 트레비앙,96,입주예정,2022-12,청약홈 분양정보 오픈API
2020000295,경기도,,수원영통구,망포동,영통자이,653,입주예정,2022-08,청약홈 분양정보 오픈API
2020000365,경기도,,시흥시,장곡동,시흥장현 A-1블록 영구임대 신규,671,입주예정,2020-09,청약홈 분양정보 오픈API
2020000338,서울특별시,강서구,,,등촌역 한울에이치밸리움,58,입주예정,2020-12,청약홈 분양정보 오픈API
2020000366,경기도,,성남수정구,,판교제2테크노밸리A1블록 창업지원주택(행복주택) 추가모집,218,입주예정,2020-08,청약홈 분양정보 오픈API
2020000384,울산광역시,,울산북구,,울산송정 B3블록 10년 공공임대주택(리츠) 추가모집,152,입주예정,2020-04,청약홈 분양정보 오픈API
2020000369,전라남도,,고흥군,고흥읍,고흥남계 국민임대주택 추가모집,156,입주예정,2020-09,청약홈 분양정보 오픈API
2020000368,대구광역시,,대구수성구,범어동,쌍용 더 플래티넘 범어,207,입주예정,2022-07,청약홈 분양정보 오픈API
2020000354,충청남도,,당진시,송산면,당진 효성 해링턴플레이스,671,입주예정,2022-08,청약홈 분양정보 오픈API
2020000353,경상남도,,거제시,,포레나 거제 장평,97,입주예정,2021-02,청약홈 분양정보 오픈API
2020000347,인천광역시,,인천중구,중산동,인천 영종국제도시 A47BL 호반써밋 스카이센트럴,534,입주예정,2022-07,청약홈 분양정보 오픈API
2020000337,전라북도,,전주덕진구,,전주 우아한시티,43,입주예정,2021-09,청약홈 분양정보 오픈API
2020000334,대구광역시,,대구중구,도원동,힐스테이트 도원 센트럴,894,입주예정,2024-02,청약홈 분양정보 오픈API
2020000367,경상남도,,진주시,,진주가좌올리움(국민임대) 예비입주자,120,입주예정,2020-07,청약홈 분양정보 오픈API
2020000319,경상북도,,상주시,,냉림동 현대 유니언,68,입주예정,2020-05,청약홈 분양정보 오픈API
2020000348,전라북도,,완주군,삼례읍,완주삼봉 A-1블럭 국민임대 예비입주자 모집,40,입주예정,2020-08,청약홈 분양정보 오픈API
